0,
1,VertexColor_Vector4_Float - AlphaMode_Mask - AlphaCutoff - DoubleSided - BaseColorFactor - BaseColorTexture
2,AlphaMode_Mask - BaseColorTexture
3,AlphaMode_Mask - BaseColorFactor - BaseColorTexture
4,AlphaMode_Mask - AlphaCutoff - BaseColorTexture
5,AlphaMode_Blend - BaseColorTexture
6,DoubleSided - BaseColorTexture
7,DoubleSided - AlphaMode_Blend - BaseColorTexture
8,DoubleSided - AlphaCutoff - AlphaMode_Mask - BaseColorTexture
9,BaseColorFactor - BaseColorTexture - AlphaMode_Blend - VertexColor_Vector4_Float
10,AlphaMode_Blend - VertexColor_Vector4_Float
