0,
1,AlphaMode_MASK - AlphaCutoff - DoubleSided - EmissiveFactor - EmissiveTexture - NormalTexture - Scale - OcclusionTexture - Strength - BaseColorFactor - BaseColorTexture - MetallicFactor - RoughnessFactor - MetallicRoughnessTexture
2,AlphaMode_MASK - AlphaCutoff - BaseColorFactor
3,AlphaMode_BLEND - BaseColorFactor
4,DoubleSided
5,EmissiveFactor
6,EmissiveFactor - EmissiveTexture
7,EmissiveTexture
8,NormalTexture
9,NormalTexture - Scale
10,OcclusionTexture
11,OcclusionTexture - Strength
12,BaseColorFactor
13,BaseColorTexture
14,BaseColorTexture - BaseColorFactor
15,MetallicFactor
16,RoughnessFactor
17,MetallicRoughnessTexture
18,MetallicRoughnessTexture - RoughnessFactor
19,MetallicRoughnessTexture - MetallicFactor
20,MetallicRoughnessTexture - RoughnessFactor - MetallicFactor
