0,
1,AlphaMode_Mask - AlphaCutoff_Low - VertexColor_Vector4_Float - BaseColorFactor - BaseColorTexture
2,AlphaMode_Mask - BaseColorTexture
3,AlphaMode_Mask - BaseColorFactor - BaseColorTexture
4,AlphaMode_Mask - AlphaCutoff_High - BaseColorFactor - BaseColorTexture
5,AlphaMode_Mask - AlphaCutoff_Equal - BaseColorFactor - BaseColorTexture
6,AlphaMode_Mask - AlphaCutoff_Low - BaseColorFactor - BaseColorTexture
7,AlphaMode_Mask - AlphaCutoff_High - BaseColorTexture
8,AlphaMode_Mask - AlphaCutoff_Equal - BaseColorTexture
9,AlphaMode_Mask - AlphaCutoff_Low - BaseColorTexture
10,AlphaMode_Blend - BaseColorTexture
11,AlphaMode_Blend - VertexColor_Vector4_Float - BaseColorFactor - BaseColorTexture
12,AlphaMode_Blend - VertexColor_Vector4_Float
13,AlphaMode_Mask - VertexColor_Vector4_Float
14,AlphaMode_Blend - BaseColorFactor
15,AlphaMode_Mask - BaseColorFactor
16,AlphaMode_Mask - AlphaCutoff_Low - BaseColorFactor
17,AlphaMode_Mask - AlphaCutoff_Equal - BaseColorFactor
18,AlphaMode_Mask - AlphaCutoff_High - BaseColorFactor
